id,text,label,pos
Sentence: 1,3PARA,B-software,CD
,RAT,I-software,NNP
,uses,O,VBZ
,HTTP,B-tool,NNP
,for,O,IN
,command,O,NN
,and,O,CC
,control,O,NN
,.,O,.
Sentence: 2,3PARA,B-software,CD
,RAT,I-software,NNP
,’s,O,NNP
,command,B-tool,NN
,and,O,CC
,control,B-tool,VB
,commands,I-tool,NNS
,are,O,VBP
,encrypted,O,VBN
,within,O,IN
,the,O,DT
,HTTP,O,NNP
,C2,O,NNP
,channel,O,NN
,using,O,VBG
,the,B-tool,DT
,DES,I-tool,NNP
,algorithm,I-tool,NN
,in,O,IN
,CBC,O,NNP
,mode,O,NN
,with,O,IN
,a,B-file,DT
,key,I-file,NN
,.,O,.
Sentence: 3,The,B-file,DT
,key,I-file,NN
,was,O,VBD
,derived,O,VBN
,from,O,IN
,the,B-information,DT
,MD5,I-information,NNP
,hash,I-information,NN
,of,O,IN
,the,B-information,DT
,string,I-information,NN
,HYF54&%9&jkMCXuiS,I-information,NNP
,.,O,.
Sentence: 4,3PARA,B-software,CD
,RAT,I-software,NNP
,has,O,VBZ
,a,B-tool,DT
,command,I-tool,NN
,to,O,TO
,retrieve,O,VB
,metadata,B-information,NN
,for,O,IN
,files,B-file,NNS
,on,O,IN
,disk,B-device,NN
,as,O,RB
,well,O,RB
,as,O,IN
,a,B-tool,DT
,command,I-tool,NN
,to,O,TO
,list,O,VB
,the,B-file,DT
,current,I-file,JJ
,working,I-file,JJ
,directory,I-file,NN
,.,O,.
Sentence: 5,3PARA,B-software,CD
,RAT,I-software,NNP
,has,O,VBZ
,a,B-tool,DT
,command,I-tool,NN
,to,O,TO
,set,O,VB
,certain,O,JJ
,attributes,O,NNS
,such,O,JJ
,as,O,IN
,creation/modification,O,NN
,timestamps,O,NNS
,on,O,IN
,files,B-file,NNS
,.,O,.
Sentence: 6,4H,B-software,CD
,RAT,I-software,NNP
,obfuscates,O,NNS
,C2,O,NNP
,communication,O,NN
,using,O,VBG
,a,B-tool,DT
,1-byte,I-tool,JJ
,XOR,I-tool,NN
,with,O,IN
,the,B-file,DT
,key,I-file,JJ
,0xBE,I-file,CD
,.,O,.
Sentence: 7,4H,B-software,CD
,RAT,I-software,NNP
,has,O,VBZ
,the,O,DT
,capability,O,NN
,to,O,TO
,obtain,O,VB
,file,B-file,NN
,and,O,CC
,directory,B-file,NN
,listings,I-file,NNS
,.,O,.
Sentence: 8,AADInternals,B-software,NNS
,can,O,MD
,enumerate,O,VB
,Azure,B-application,NNP
,AD,I-application,NNP
,users,I-application,NNS
,.,O,.
Sentence: 9,AADInternals,B-software,NNS
,is,O,VBZ
,written,O,VBN
,and,O,CC
,executed,O,VBN
,via,O,IN
,PowerShell,B-tool,NNP
,.,O,.
Sentence: 10,AADInternals,B-software,NNS
,can,O,MD
,create,O,VB
,new,B-application,JJ
,Azure,I-application,NNP
,AD,I-application,NNP
,users,I-application,NNS
,.,O,.
Sentence: 11,AADInternals,B-software,NNS
,can,O,MD
,create,O,VB
,a,B-tool,DT
,backdoor,I-tool,NN
,by,O,IN
,converting,O,VBG
,a,O,DT
,domain,O,NN
,to,O,TO
,a,O,DT
,federated,O,VBN
,domain,O,NN
,which,O,WDT
,will,O,MD
,be,O,VB
,able,O,JJ
,to,O,TO
,authenticate,O,VB
,any,B-application,DT
,user,I-application,NN
,across,O,IN
,the,O,DT
,tenant,O,NN
,.,O,.
Sentence: 12,AADInternals,B-software,NNS
,can,O,MD
,gather,O,VB
,information,B-information,NN
,about,O,IN
,a,O,DT
,tenant,O,NN
,’s,O,NN
,domains,O,VBZ
,using,O,VBG
,public,B-tool,JJ
,Microsoft,I-tool,NNP
,APIs,I-tool,NNP
,.,O,.
Sentence: 13,AADInternals,B-software,NNS
,can,O,MD
,dump,O,VB
,secrets,O,NNS
,from,O,IN
,the,O,DT
,Local,O,NNP
,Security,O,NNP
,Authority,O,NNP
,.,O,.
Sentence: 14,AADInternals,B-software,NNS
,can,O,MD
,send,O,VB
,"""consent",O,JJ
,"phishing""",O,NN
,emails,O,NNS
,containing,O,VBG
,malicious,B-file,JJ
,links,I-file,NNS
,designed,O,VBN
,to,O,TO
,steal,O,VB
,users,B-application,NNS
,’,O,JJ
,access,B-information,NN
,tokens,I-information,NNS
,.,O,.
Sentence: 15,AADInternals,B-software,NNS
,can,O,MD
,send,O,VB
,phishing,O,VBG
,emails,O,NNS
,containing,O,VBG
,malicious,B-file,JJ
,links,I-file,NNS
,designed,O,VBN
,to,O,TO
,collect,O,VB
,users,B-application,NNS
,’,O,JJ
,credentials,B-information,NNS
,.,O,.
Sentence: 16,AADInternals,B-software,NNS
,can,O,MD
,steal,O,VB
,users,B-application,NNS
,’,O,JJ
,access,B-information,NN
,tokens,I-information,NNS
,via,O,IN
,phishing,O,VBG
,emails,O,NNS
,containing,O,VBG
,malicious,B-file,JJ
,links,I-file,NNS
,.,O,.
Sentence: 17,AADInternals,B-software,NNS
,can,O,MD
,gather,O,VB
,encryption,B-file,NN
,keys,I-file,NNS
,from,O,IN
,Azure,B-tool,NNP
,AD,I-tool,NNP
,services,I-tool,NNS
,such,O,JJ
,as,O,IN
,ADSync,O,NNP
,and,O,CC
